timestamp, world_x, world_y, world_z
1774528507.280835, 4.093115, 5.444290, 2.371819
1774528507.314242, 4.153951, 5.416713, 2.316176
1774528507.347598, 4.219489, 5.403537, 2.248625
1774528507.380751, 4.278353, 5.381299, 2.195012
1774528507.414075, 4.354691, 5.352303, 2.130520
1774528507.447412, 4.408893, 5.324318, 2.079799
1774528507.480640, 4.467440, 5.294764, 2.059243
1774528507.513843, 4.525928, 5.269733, 1.999876
1774528507.547403, 4.595730, 5.235552, 1.954767
1774528507.580760, 4.653475, 5.208378, 1.899129
1774528507.614128, 4.698828, 5.170430, 1.854179
1774528507.647385, 4.758113, 5.133027, 1.808167
1774528507.680607, 4.814855, 5.093633, 1.759083
1774528507.713843, 4.867303, 5.053919, 1.731847
1774528507.747333, 4.933452, 5.014745, 1.697667
1774528507.780556, 5.003202, 4.976616, 1.663441
1774528507.813740, 5.051185, 4.925659, 1.613279
1774528507.847021, 5.102077, 4.878169, 1.556903
1774528507.880295, 5.154739, 4.828630, 1.518313
1774528507.913670, 5.205193, 4.784680, 1.472685
1774528507.946958, 5.250713, 4.727606, 1.425111
1774528507.979946, 5.294852, 4.671076, 1.377896
1774528508.013322, 5.367307, 4.615021, 1.323670
1774528508.046770, 5.425562, 4.566568, 1.273677
1774528508.080007, 5.500551, 4.520411, 1.231595
1774528508.113344, 5.548176, 4.476879, 1.175635
1774528508.146601, 5.607026, 4.422561, 1.136355
1774528508.179693, 5.662413, 4.371465, 1.093266
1774528508.212793, 5.712691, 4.310728, 1.055178
1774528508.246352, 5.747473, 4.242758, 1.004054
1774528508.279419, 5.797891, 4.182546, 0.963535
1774528508.312753, 5.829732, 4.116915, 0.922256
1774528508.345757, 5.890248, 4.061050, 0.900341
1774528508.379107, 5.926855, 4.002219, 0.881274
1774528508.412370, 5.969226, 3.935254, 0.834837
1774528508.445663, 6.013642, 3.867371, 0.799149
1774528508.478873, 6.051883, 3.803592, 0.770638
1774528508.512199, 6.089675, 3.733184, 0.754333
1774528508.545557, 6.130761, 3.668480, 0.709109
1774528508.578799, 6.178687, 3.601224, 0.685061
1774528508.612144, 6.213631, 3.533143, 0.661331
1774528508.645533, 6.275332, 3.463940, 0.634085
1774528508.678756, 6.321967, 3.393537, 0.611526
1774528508.711865, 6.365004, 3.315900, 0.581181
1774528508.745215, 6.403559, 3.246870, 0.546758
1774528508.778781, 6.446986, 3.175988, 0.522214
1774528508.811813, 6.475732, 3.101892, 0.499813
1774528508.845247, 6.498672, 3.026334, 0.483205
1774528508.878657, 6.534913, 2.953625, 0.448270
1774528508.911874, 6.564001, 2.884976, 0.414911
1774528508.945237, 6.607412, 2.806130, 0.389015
